painting_index,img_src,painting_title,num_colors,colors
282,https://www.twoinchbrush.com/images/painting282.png,A Walk in the Woods,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
283,https://www.twoinchbrush.com/images/painting283.png,Mt. McKinley,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
284,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,9,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
285,https://www.twoinchbrush.com/images/painting285.png,Winter Mist,3,"['Prussian Blue', 'Titanium White', 'Van Dyke Brown']"
286,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
287,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,4,"['Black Gesso', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']"
288,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
289,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
290,https://www.twoinchbrush.com/images/painting290.png,Seascape,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
291,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
292,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']"
293,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,4,"['Alizarin Crimson', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']"
